127.0.0.1 - - [10/May/2018:11:36:39 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [10/May/2018:11:36:40 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [10/May/2018:11:36:40 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 200 8039
0:0:0:0:0:0:0:1 - - [10/May/2018:11:36:41 +0900] "GET /Gaudium/img/django/django_banner.png HTTP/1.1" 200 107072
0:0:0:0:0:0:0:1 - - [10/May/2018:11:38:58 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:38:58 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 200 8039
0:0:0:0:0:0:0:1 - - [10/May/2018:11:38:58 +0900] "GET /Gaudium/img/django/django_banner.png HTTP/1.1" 200 107072
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:00 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:00 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:03 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:06 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:15 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:51 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:51 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:39:51 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [10/May/2018:11:40:15 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [10/May/2018:11:40:25 +0900] "GET /Gaudium/hold.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [10/May/2018:11:40:25 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:40:25 +0900] "GET /Gaudium/img/hold_bg.jpg HTTP/1.1" 200 75788
0:0:0:0:0:0:0:1 - - [10/May/2018:11:41:23 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [10/May/2018:11:41:23 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:42:11 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 9995
0:0:0:0:0:0:0:1 - - [10/May/2018:11:42:11 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:43:54 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10032
0:0:0:0:0:0:0:1 - - [10/May/2018:11:43:54 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:44:03 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10025
0:0:0:0:0:0:0:1 - - [10/May/2018:11:45:14 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10016
0:0:0:0:0:0:0:1 - - [10/May/2018:11:45:14 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:46:08 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [10/May/2018:11:46:09 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [10/May/2018:11:46:22 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10037
0:0:0:0:0:0:0:1 - - [10/May/2018:11:46:22 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:47:13 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10087
0:0:0:0:0:0:0:1 - - [10/May/2018:11:51:56 +0900] "GET /Gaudium/hold.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [10/May/2018:11:51:56 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:51:56 +0900] "GET /Gaudium/img/hold_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:52:35 +0900] "GET /Gaudium/index.jsp HTTP/1.1" 200 10087
0:0:0:0:0:0:0:1 - - [10/May/2018:11:52:35 +0900] "GET /Gaudium/img/django/django_banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:53:28 +0900] "GET /Gaudium/hold.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [10/May/2018:11:53:28 +0900] "GET /Gaudium/board.jsp HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [10/May/2018:11:54:11 +0900] "GET /Gaudium/login.jsp HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [10/May/2018:11:54:11 +0900] "GET /Gaudium/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2018:11:54:11 +0900] "GET /Gaudium/img/backBtn.png HTTP/1.1" 200 20068
0:0:0:0:0:0:0:1 - - [10/May/2018:11:54:11 +0900] "GET /Gaudium/img/login_bg.jpg HTTP/1.1" 200 196865
0:0:0:0:0:0:0:1 - - [10/May/2018:11:54:41 +0900] "GET /Gaudium/signUp.jsp HTTP/1.1" 200 1649
